run_id,variation,mode,seed,status,returncode,duration_sec,run_dir,config_path,command,started_at,finished_at,error
bg2500-big_comm_seed001,bg2500-big,comm,1,success,0,222.066573,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001,/Users/absera/Capstone/swarm-robotics/experiments/configs/bg2500-big_comm.yaml,/Users/absera/Capstone/swarm-robotics/.venv/bin/python /Users/absera/Capstone/swarm-robotics/src/main.py /Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_001/config_resolved.yaml,2026-04-23T06:25:42.432132+00:00,2026-04-23T06:29:24.498705+00:00,
bg2500-big_comm_seed002,bg2500-big,comm,2,success,0,227.711704,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_002,/Users/absera/Capstone/swarm-robotics/experiments/configs/bg2500-big_comm.yaml,/Users/absera/Capstone/swarm-robotics/.venv/bin/python /Users/absera/Capstone/swarm-robotics/src/main.py /Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_002/config_resolved.yaml,2026-04-23T06:25:42.432280+00:00,2026-04-23T06:29:30.143984+00:00,
bg2500-big_comm_seed003,bg2500-big,comm,3,success,0,223.041138,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_003,/Users/absera/Capstone/swarm-robotics/experiments/configs/bg2500-big_comm.yaml,/Users/absera/Capstone/swarm-robotics/.venv/bin/python /Users/absera/Capstone/swarm-robotics/src/main.py /Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_003/config_resolved.yaml,2026-04-23T06:25:42.440303+00:00,2026-04-23T06:29:25.481441+00:00,
bg2500-big_comm_seed004,bg2500-big,comm,4,success,0,233.201811,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_004,/Users/absera/Capstone/swarm-robotics/experiments/configs/bg2500-big_comm.yaml,/Users/absera/Capstone/swarm-robotics/.venv/bin/python /Users/absera/Capstone/swarm-robotics/src/main.py /Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_004/config_resolved.yaml,2026-04-23T06:29:23.942131+00:00,2026-04-23T06:33:17.143942+00:00,
bg2500-big_comm_seed005,bg2500-big,comm,5,success,0,232.71221,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_005,/Users/absera/Capstone/swarm-robotics/experiments/configs/bg2500-big_comm.yaml,/Users/absera/Capstone/swarm-robotics/.venv/bin/python /Users/absera/Capstone/swarm-robotics/src/main.py /Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/comm/seed_005/config_resolved.yaml,2026-04-23T06:29:25.482720+00:00,2026-04-23T06:33:18.194930+00:00,
bg2500-big_noncomm_seed001,bg2500-big,noncomm,1,success,0,219.255619,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/noncomm/seed_001,/Users/absera/Capstone/swarm-robotics/experiments/configs/bg2500-big_noncomm.yaml,/Users/absera/Capstone/swarm-robotics/.venv/bin/python /Users/absera/Capstone/swarm-robotics/src/main.py /Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/noncomm/seed_001/config_resolved.yaml,2026-04-23T06:25:42.432225+00:00,2026-04-23T06:29:21.687844+00:00,
bg2500-big_noncomm_seed002,bg2500-big,noncomm,2,success,0,221.503284,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/noncomm/seed_002,/Users/absera/Capstone/swarm-robotics/experiments/configs/bg2500-big_noncomm.yaml,/Users/absera/Capstone/swarm-robotics/.venv/bin/python /Users/absera/Capstone/swarm-robotics/src/main.py /Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/noncomm/seed_002/config_resolved.yaml,2026-04-23T06:25:42.438012+00:00,2026-04-23T06:29:23.941296+00:00,
bg2500-big_noncomm_seed003,bg2500-big,noncomm,3,success,0,224.985103,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/noncomm/seed_003,/Users/absera/Capstone/swarm-robotics/experiments/configs/bg2500-big_noncomm.yaml,/Users/absera/Capstone/swarm-robotics/.venv/bin/python /Users/absera/Capstone/swarm-robotics/src/main.py /Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/noncomm/seed_003/config_resolved.yaml,2026-04-23T06:29:21.706045+00:00,2026-04-23T06:33:06.691148+00:00,
bg2500-big_noncomm_seed004,bg2500-big,noncomm,4,success,0,227.396435,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/noncomm/seed_004,/Users/absera/Capstone/swarm-robotics/experiments/configs/bg2500-big_noncomm.yaml,/Users/absera/Capstone/swarm-robotics/.venv/bin/python /Users/absera/Capstone/swarm-robotics/src/main.py /Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/noncomm/seed_004/config_resolved.yaml,2026-04-23T06:29:24.499801+00:00,2026-04-23T06:33:11.896236+00:00,
bg2500-big_noncomm_seed005,bg2500-big,noncomm,5,success,0,224.795872,/Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/noncomm/seed_005,/Users/absera/Capstone/swarm-robotics/experiments/configs/bg2500-big_noncomm.yaml,/Users/absera/Capstone/swarm-robotics/.venv/bin/python /Users/absera/Capstone/swarm-robotics/src/main.py /Users/absera/Capstone/swarm-robotics/experiments/runs/batch_20260423_062542/bg2500-big/noncomm/seed_005/config_resolved.yaml,2026-04-23T06:29:30.170607+00:00,2026-04-23T06:33:14.966479+00:00,
